caption_id,track_id,caption,is_valid_subset,familiarity,artist_id,album_id,path,duration,word_count
5,1063332,Groovy instrumental funk rock track with occasional guitar solos that give you a feeling of longing.,True,1,437571,125588,32/1063332.mp3,161.5,16
902,723360,"This is a very fast and dynamic gipsy track with trumpets and voices, that makes you want to jump.",True,2,340550,84461,60/723360.mp3,237.6,19
563,1166070,Childish and innocent orchestral piece of music that conveys joy and happiness and gives a sense of beginning.,True,2,361694,140202,70/1166070.mp3,141.7,18
331,242384,"An intimate, paused folk song with a male voice, an acoustic guitar and a minimalist arrangement for strings and piano.",True,2,343767,35540,84/242384.mp3,272.2,20
649,1138691,A smooth blues song gets exciting as the vocal joins and lets us through his meandering melody.,True,1,7805,136796,91/1138691.mp3,276.2,17
683,6007,This song starts with a piano that can be heard from far but then gets exciting with guitar and a fast-paced male vocal.,True,1,795,925,07/6007.mp3,368.9,23
42,492277,A retro-futurist drum machine groove drenched in bubbly synthetic sound effects and a hint of an acid bassline.,True,2,336764,57703,77/492277.mp3,205.1,18
239,172021,"2000s hip-hop track with R&B and reggaeton influences, with a indian/arab-sounding percussive beat and a good flow",True,1,339779,25331,21/172021.mp3,230.0,17
597,3112,"Genre seems like a space music and I feel confused and feels like I'm in the space, somewhere like black-hole",,0,286,485,12/3112.mp3,341.0,20
873,243172,"Mellow dreamy feel that reminds of fall season played on bass violin, piano accompanied with vocals",,1,343767,35540,72/243172.mp3,218.4,16
940,1166680,Positive vibe like something good is happening or about to happen based primarily on finger picking acoustic,True,1,442397,140285,80/1166680.mp3,63.3,17
401,1050845,"Synthetic orchestral piece in the style of a 90s war movie battle scene soundtrack, with prominent bass drums and dry brass section harmonies",True,2,432124,123749,45/1050845.mp3,211.7,23
95,785423,A twisty nice melody song by a slide electric guitar on top of acoustic chords later accompanied with a ukelele.,True,1,7805,92133,23/785423.mp3,246.2,20
1006,1281209,A repetitive musical motif with an electronic keyboard sound which sounds relaxing. Could be used to focus on work.,,1,343154,152813,09/1281209.mp3,200.0,19
641,437793,An instrumental rock track that features bright drums and guitars where vocals are only used for giving a background ambience.,True,1,353967,53026,93/437793.mp3,214.0,20
700,1307834,Dynamic and danceable uplifting pop song featuring a catchy beat performed by an acoustic guitar and hand clapls.,True,2,343767,155433,34/1307834.mp3,242.4,18
890,1245184,"A medium-paced EDM-style song with an intro by a synthesizer, features some ambient sound and simple drum.",True,0,476715,149189,84/1245184.mp3,295.2,17
521,1350957,A positive instrumental tune to get you up in the morning with a big smile on your face.,True,1,490314,159344,57/1350957.mp3,127.1,18
1019,1169699,"Multiple guitars with distorsion, wah-wah play a western country motif. The motif is followed by a more garage  rock guitar motif.",,0,7063,140739,99/1169699.mp3,129.9,21
380,461012,"This electronic track combines synths with guitar, builds up slowly and then bangs it with a electric guitar solo.",True,1,352042,54952,12/461012.mp3,281.5,19
160,1233757,"An ambient mix of reverberant sparkling clean and flamenco style electric guitars, ethereal other worldly vocals, and light conga percussion.",True,2,4729,147943,57/1233757.mp3,353.7,20
323,1321940,This song reminds me some film and movie scenes in which there is a lot of tension and fear,True,0,2740,156685,40/1321940.mp3,148.6,19
101,73152,A strange electronically processed rock song captures your attention even though it sounds like a cheap tune at first.,,0,7063,6464,52/73152.mp3,172.0,19
164,24560,"Typical guitar-folk song with no lyrics, but a choir of voices being used for giving texture.",True,0,3682,3385,60/24560.mp3,172.5,16
1017,1033252,"A 70s style british pop song with drums, guitars, a synth violin sounds and finally bright piano chords.",True,1,433896,121612,52/1033252.mp3,246.3,18
333,1239507,"Mysterious piece of jazz music for a typical film noir scene, played on piano, bass (and with a trumpet solo section).",True,2,459422,148554,07/1239507.mp3,295.2,21
294,418240,"This somewhat experimental electro track features handclaps, a layering of multiple synth loops and a repetitive pattern.",True,1,343236,51413,40/418240.mp3,216.0,17
843,88214,"A neo-classical piece that's like ballroom dancing music, but with some interesting percussion added in. Theme and variation structure with varying instrumentation.",,2,1968,8447,14/88214.mp3,132.6,22
924,1390266,Not really an improvisation but a mixture of tracks at similar loudness levels that can confuse you a bit.,False,2,358635,163060,66/1390266.mp3,133.3,19
1093,880702,"A rock song with a diffuse texture, in which all the instruments mix with the voice and make themselves intelligible to each other.",,0,364882,103465,02/880702.mp3,703.9,23
496,1408401,"A quartet of drums, double bass, piano and saxophone performing a slow and beautiful jazz song perfect for an evening in a café.",True,1,496168,164580,01/1408401.mp3,198.9,23
635,635967,This smooth jazz track which features a sleepy English vocal is pleasant to listen and perfect for nightdreaming.,True,1,343767,73619,67/635967.mp3,284.1,18
487,1151409,"Ambient cinematic song, with a glockenspiel lead, sustained by strings, choir and woodwinds. She song feels dreamy and magic, like a Disney movie.",,1,432273,138116,09/1151409.mp3,191.3,23
1064,1170729,It has a loving and joyful feel to it based on the lyrics and also the finger picking guitar,True,0,339048,140943,29/1170729.mp3,149.2,19
612,461018,This song starts with a piano and guitar duet going through an emotional phase and then joined with a dramatic electric guitar.,True,1,352042,54952,18/461018.mp3,220.0,22
560,5341,"An anguished instrumental track that builds tension as more instruments join in, while the voice of a person being beaten can be heard.",True,0,245,830,41/5341.mp3,248.4,23
75,172031,"Hip hop track with a subtle reggaeton feel, with a male rapper and a female soul choir in the background.",True,0,339779,25331,31/172031.mp3,237.9,20
271,415590,"An instrumental trip hop track, with a slow electronic beat dominated by synth pads, delayed guitar and guitar effects.",True,1,353120,51331,90/415590.mp3,120.2,19
1042,1116697,Electronic instrumental house music that builds up quickly and can be used in a club or in the background while studying or relaxing,True,0,421137,133426,97/1116697.mp3,256.1,23
688,1245191,"This song features a heavy drum beat, synth bass and piano and has some synthesized back vocals through the end.",True,1,476715,149189,91/1245191.mp3,378.3,20
820,1078392,Pop rock song with a hopeful feel and a chorus that audience can sing along to,True,1,343767,128427,92/1078392.mp3,210.2,16
497,1107251,Expressive hip-hop track with a male vocal over a beat featuring a looping electric guitar riff.,True,1,339779,132225,51/1107251.mp3,228.6,16
891,145958,"This tracks is composed of a catchy electric guitar riffs alternating with sung parts slightly calmer, is a genre close to metal.",,0,338624,20784,58/145958.mp3,199.4,22
603,172023,Genre seems like a hip hop music and reminds me a  place in New Orleans where they rap in the hood.,True,2,339779,25331,23/172023.mp3,239.2,21
344,1245183,"Electrónica positiva con secuencias de tempo animado  y algo de fantasía futurista en los sintetizadores, graves profundos y agudos brillantes",,2,476715,149189,83/1245183.mp3,385.8,20
732,1163322,Light music on jazz style. Main melody and  solos by sax and clarinet with accompaniment by a drums and an electronic organ.,,1,422656,139821,22/1163322.mp3,201.1,22
295,458252,This folk ballad sung by a man in French (slightly off tune) has a nostalgic mood and features violins and guitars.,True,1,354771,54715,52/458252.mp3,232.5,21
135,1116697,"An electronic music track which has a upbeat melody, gets increasingly complex and evokes a sense of positive excitement",,0,421137,133426,97/1116697.mp3,256.1,19
131,1198562,A soothing and lightly melancholic piano composition that makes the listener desire to sing with it.,True,2,462340,144181,62/1198562.mp3,190.2,16
62,7259,"A track with exotic drums and a distorted vocal sample repeating, later a more traditional beat kicks in.",False,0,1058,1098,59/7259.mp3,486.0,18
